url,handle_action,destination
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07167_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07168_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07224_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07225_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07226_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07227_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07228_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07229_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07230_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07231_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07232_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07233_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07234_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07235_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07236_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07237_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07312_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07313_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.07314_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
